"año";"sector";"unidad_de_medida";"total";"co2";"ch4";"n2o";"otros_gei"
"2001";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"101.58";"82.87";"12.46";"6.25";"0.00"

"2001";"Residuos";"MtCO2e";"15.78";"0.02";"15.14";"0.61";"0.00"

"2002";"Energia";"MtCO2e";"136.19";"111.17";"24.54";"0.49";"0.00"

"2002";"Procesos industriales y uso de productos";"MtCO2e";"11.01";"10.50";"0.12";"0.07";"0.31"

"2002";"Agricultura y Ganaderia";"MtCO2e";"97.53";"0.47";"81.93";"15.13";"0.00"

"2002";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"110.64";"97.59";"9.42";"3.63";"0.00"

"2002";"Residuos";"MtCO2e";"16.13";"0.02";"15.55";"0.55";"0.00"

"2003";"Energia";"MtCO2e";"146.15";"119.14";"26.50";"0.51";"0.00"

"2003";"Procesos industriales y uso de productos";"MtCO2e";"12.80";"12.17";"0.16";"0.08";"0.39"

"2003";"Agricultura y Ganaderia";"MtCO2e";"100.74";"0.61";"83.96";"16.17";"0.00"

"2003";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"110.19";"96.11";"10.26";"3.82";"0.00"

"2003";"Residuos";"MtCO2e";"16.76";"0.02";"16.16";"0.57";"0.00"

"2004";"Energia";"MtCO2e";"158.51";"130.62";"27.32";"0.57";"0.00"

"2004";"Procesos industriales y uso de productos";"MtCO2e";"14.19";"13.48";"0.16";"0.08";"0.47"

"2004";"Agricultura y Ganaderia";"MtCO2e";"103.19";"0.69";"85.40";"17.10";"0.00"

"2004";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"110.99";"104.50";"4.93";"1.56";"0.00"

"2004";"Residuos";"MtCO2e";"17.22";"0.03";"16.62";"0.58";"0.00"

"2005";"Energia";"MtCO2e";"162.36";"135.17";"26.61";"0.59";"0.00"

"2005";"Procesos industriales y uso de productos";"MtCO2e";"15.54";"14.61";"0.16";"0.08";"0.69"

"2005";"Agricultura y Ganaderia";"MtCO2e";"103.33";"0.56";"85.64";"17.13";"0.00"

"2005";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"100.74";"93.20";"5.67";"1.87";"0.00"

"2005";"Residuos";"MtCO2e";"17.77";"0.03";"17.13";"0.61";"0.00"

"2006";"Energia";"MtCO2e";"171.34";"143.74";"26.97";"0.63";"0.00"

"2006";"Procesos industriales y uso de productos";"MtCO2e";"16.04";"15.12";"0.16";"0.09";"0.67"

"2006";"Agricultura y Ganaderia";"MtCO2e";"105.09";"0.75";"86.23";"18.11";"0.00"

"2006";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"117.60";"110.15";"5.68";"1.77";"0.00"

"2006";"Residuos";"MtCO2e";"18.26";"0.03";"17.60";"0.63";"0.00"

"2007";"Energia";"MtCO2e";"185.60";"158.06";"26.86";"0.68";"0.00"

"2007";"Procesos industriales y uso de productos";"MtCO2e";"16.73";"15.75";"0.14";"0.07";"0.76"

"2007";"Agricultura y Ganaderia";"MtCO2e";"105.06";"0.70";"85.79";"18.57";"0.00"

"2007";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"124.40";"117.33";"5.47";"1.60";"0.00"

"2007";"Residuos";"MtCO2e";"18.31";"0.03";"17.64";"0.64";"0.00"

"2008";"Energia";"MtCO2e";"191.05";"163.28";"26.82";"0.95";"0.00"

"2008";"Procesos industriales y uso de productos";"MtCO2e";"16.54";"15.55";"0.14";"0.06";"0.78"

"2008";"Agricultura y Ganaderia";"MtCO2e";"104.85";"0.65";"86.49";"17.71";"0.00"

"2008";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"99.95";"93.37";"5.03";"1.56";"0.00"

"2008";"Residuos";"MtCO2e";"18.02";"0.03";"17.34";"0.65";"0.00"

"2009";"Energia";"MtCO2e";"177.60";"151.48";"25.23";"0.89";"0.00"

"2009";"Procesos industriales y uso de productos";"MtCO2e";"14.83";"13.73";"0.15";"0.07";"0.88"

"2009";"Agricultura y Ganaderia";"MtCO2e";"100.31";"0.65";"83.28";"16.38";"0.00"

"2009";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"75.67";"69.96";"4.17";"1.54";"0.00"

"2009";"Residuos";"MtCO2e";"17.68";"0.03";"17.00";"0.65";"0.00"

"2010";"Energia";"MtCO2e";"190.66";"165.05";"24.57";"1.05";"0.00"

"2010";"Procesos industriales y uso de productos";"MtCO2e";"17.20";"15.95";"0.14";"0.07";"1.05"

"2010";"Agricultura y Ganaderia";"MtCO2e";"95.00";"0.86";"76.62";"17.52";"0.00"

"2010";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"79.33";"75.14";"3.25";"0.94";"0.00"

"2010";"Residuos";"MtCO2e";"18.19";"0.03";"17.28";"0.88";"0.00"

"2011";"Energia";"MtCO2e";"198.85";"173.69";"24.05";"1.11";"0.00"

"2011";"Procesos industriales y uso de productos";"MtCO2e";"18.57";"17.25";"0.14";"0.07";"1.11"

"2011";"Agricultura y Ganaderia";"MtCO2e";"93.30";"0.96";"73.97";"18.38";"0.00"

"2011";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"56.85";"52.98";"3.00";"0.88";"0.00"

"2011";"Residuos";"MtCO2e";"18.59";"0.03";"17.67";"0.89";"0.00"

"2012";"Energia";"MtCO2e";"199.12";"174.52";"23.48";"1.11";"0.00"

"2012";"Procesos industriales y uso de productos";"MtCO2e";"17.67";"16.04";"0.14";"0.08";"1.41"

"2012";"Agricultura y Ganaderia";"MtCO2e";"94.24";"0.79";"76.04";"17.41";"0.00"

"2012";"Usos de la Tierra, Cambios de Uso de la Tierra y Silvicultura";"MtCO2e";"96.32";"90.85";"4.25";"1.22";"0.00"

"2012";"Residuos";"MtCO2e";"19.16";"0.03";"18.23";"0.90";"0.00"

